Date,Close,High,Low,Open,Volume,returns,log_returns,volatility_20d,volatility_60d
2020-01-02,127.0999984741211,130.9499969482422,126.5,129.5500030517578,21506,,,,
2020-01-03,126.3499984741211,128.4499969482422,125.44999694824219,127.19999694824219,16566,-0.005900865531109467,-0.005918344432467606,,
2020-01-06,122.1500015258789,126.55000305175781,121.55000305175781,126.25,24428,-0.03324097347814714,-0.03380601156200454,,
2020-01-07,122.4000015258789,123.4000015258789,119.8499984741211,122.5999984741211,21308,0.0020466639122147523,0.002044572348961788,,
2020-01-08,119.1500015258789,123.05000305175781,118.25,122.5,23061,-0.0265522872506897,-0.026911166193436132,,
2020-01-09,117.3499984741211,120.3499984741211,117.0,118.69999694824219,24637,-0.015107033392415481,-0.01522230705689069,,
2020-01-10,118.94999694824219,119.1500015258789,116.5,117.75,21165,0.013634414102476011,0.013542301798933325,,
2020-01-13,114.55000305175781,118.55000305175781,114.1500015258789,118.55000305175781,22280,-0.03699028170970786,-0.03769177555238583,,
2020-01-14,114.9000015258789,115.55000305175781,113.69999694824219,115.0,18618,0.003055420906125539,0.0030507625939928517,,
2020-01-15,114.30000305175781,116.3499984741211,114.05000305175781,115.30000305175781,24677,-0.005221918765474953,-0.005235600634461932,,
2020-01-16,112.94999694824219,115.0999984741211,112.3499984741211,114.30000305175781,16708,-0.01181107670578374,-0.011881381604957606,,
2020-01-17,112.1500015258789,113.4000015258789,111.3499984741211,113.05000305175781,18214,-0.007082739654520442,-0.007107941323436294,,
2020-01-21,111.05000305175781,113.25,109.75,111.5,32011,-0.009808278726302744,-0.009856696750543265,,
2020-01-22,111.0,112.19999694824219,110.0999984741211,111.5,18581,-0.0004502751047608111,-0.00045037650903681796,,
2020-01-23,112.5999984741211,113.69999694824219,110.6500015258789,111.1500015258789,22898,0.014414400667757565,0.014311500841933309,,
2020-01-24,110.1500015258789,112.6500015258789,109.8499984741211,112.5999984741211,23990,-0.021758410137148188,-0.021998615053179113,,
2020-01-27,106.5999984741211,110.0,106.1500015258789,110.0,25500,-0.03222880619682755,-0.03275958968340531,,
2020-01-28,105.05000305175781,106.80000305175781,104.9000015258789,106.4000015258789,23885,-0.014540294977017032,-0.01464704107614754,,
2020-01-29,102.05000305175781,106.19999694824219,101.9000015258789,106.0,32681,-0.028557828775330085,-0.028973537181147053,,
